district,adm_okrug,area,pop_density,dist_price
Академический,ЮЗАО,583,18874.44,199999.0
Алексеевский,СВАО,529,15242.72,199474.0
Алтуфьевский,СВАО,325,17752.92,138021.0
Аэропорт,САО,458,17367.03,234544.0
Бабушкинский,СВАО,507,17493.29,164324.0
Бескудниковский,САО,330,24161.21,158398.0
Бибирево,СВАО,645,24875.5,140533.0
Братеево,ЮАО,763,14441.02,136300.0
Бутырский,СВАО,504,14245.63,182641.0
Восточное Дегунино,САО,377,26289.66,146300.0
Восточное Измайлово,ВАО,385,20313.25,168323.0
Выхино-Жулебино,ЮВАО,1497,15062.99,140357.0
Зюзино,ЮЗАО,545,23357.98,180447.0
Зябликово,ЮАО,438,30479.68,140687.0
Коньково,ЮЗАО,718,21792.9,190654.0
Коптево,САО,538,19003.35,157633.0
Котловка,ЮЗАО,394,16749.24,171287.0
Кузьминки,ЮВАО,815,17939.63,157459.0
Лианозово,СВАО,579,14859.24,133827.0
Ломоносовский,ЮЗАО,334,26469.16,229014.0
Лосиноостровский,СВАО,554,14990.25,147845.0
Марьина Роща,СВАО,468,14431.2,211977.0
Марьино,ЮВАО,1191,21338.54,140306.0
Митино,СЗАО,1267,15428.26,166324.0
Нагорный,ЮАО,542,15091.14,171887.0
Некрасовка,ЮВАО,558,14968.64,110878.0
Новогиреево,ВАО,445,22164.94,151974.0
Новокосино,ВАО,360,30056.67,138743.0
Ново-Переделкино,ЗАО,848,14353.54,131641.0
Обручевский,ЮЗАО,611,14313.91,200635.0
Орехово-Борисово Северное,ЮАО,767,17249.93,153030.0
Орехово-Борисово Южное,ЮАО,694,21301.87,141300.0
Отрадное,СВАО,1018,18246.07,147300.0
Перово,ВАО,973,14518.91,154025.0
Преображенское,ВАО,561,16323.35,150951.0
Рязанский,ЮВАО,649,16960.4,155645.0
Савёловский,САО,270,22068.89,200555.0
Свиблово,СВАО,441,14281.41,207658.0
Северное Измайлово,ВАО,420,20954.05,154447.0
Северное Медведково,СВАО,566,22612.37,160444.0
Северное Тушино,СЗАО,940,17682.66,165888.0
Сокол,САО,372,16175.0,218854.0
Текстильщики,ЮВАО,592,17803.72,151307.0
Тёплый Стан,ЮЗАО,750,17941.6,167524.0
Фили-Давыдково,ЗАО,696,16562.21,222529.0
Ховрино,САО,573,15548.69,159745.0
Царицыно,ЮАО,843,15340.21,125874.0
Черёмушки,ЮЗАО,552,20099.28,213025.0
Чертаново Северное,ЮАО,540,21232.04,180547.0
Чертаново Центральное,ЮАО,652,17992.02,160577.0
Чертаново Южное,ЮАО,938,16193.92,134332.0
Щукино,СЗАО,769,14521.85,233545.0
Южное Медведково,СВАО,388,22130.67,155965.0
Южное Тушино,СЗАО,794,13817.13,162854.0
Южнопортовый,ЮВАО,453,16521.19,190357.0
